"STATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"71624099999","2020-01-05","  23.1","011000"," 24.1","  33.8","  26.6"," 17.1"," 0.00","1013.4","  0.4","991.9","  31.5"," 14.1"," 10.1"
"71624099999","2020-01-06","  27.1","001000"," 32.1","  34.5","  27.0"," 24.1"," 0.14","1010.1","  1.6","988.7","  32.8"," 10.4"," 11.8"
"71624099999","2020-01-07","  20.7","011000"," 31.1","  39.2","  23.0"," 24.1"," 0.00","1014.1","  0.8","992.5","  29.9"," 15.0","  8.7"
"71624099999","2020-01-08","  18.9","001000"," 31.1","  36.1","  19.4"," 22.0"," 0.08","1014.3","  0.4","992.6","  27.0"," 12.6"," 13.5"
"71624099999","2020-01-09","   9.4","001000"," 24.1","  30.7","  10.9"," 15.9"," 0.01","1035.0","  0.4","012.5","  18.5"," 14.3"," 10.1"
"71624099999","2020-01-10","  34.5","010000"," 26.0","  45.1","  28.0"," 19.0"," 0.00","1022.5","  0.4","001.1","  39.7"," 13.3"," 11.3"
"71624099999","2020-01-11","  43.1","110000"," 22.9","  53.6","  35.6"," 14.0"," 0.98","1014.6","999.9","993.5","  43.6","  2.9","  7.8"
"71624099999","2020-01-12","  25.7","011000"," 29.9","  37.4","  21.2"," 21.0"," 2.10","1015.5","999.9","993.8","  28.8","  8.7"," 12.7"
"71624099999","2020-01-13","  23.5","001000"," 15.0","  35.1","  20.8"," 14.0"," 0.01","1028.1","  0.4","006.1","  26.1","  8.2","  8.6"
"71624099999","2020-01-14","  31.2","010000"," 25.1","  36.3","  23.0"," 14.0"," 0.00","1023.9","  0.4","002.2","  33.6"," 10.3","  8.8"
"71624099999","2020-01-15","  30.2","010000"," 20.0","  39.2","  31.6"," 13.0"," 0.00","1020.3","999.9","998.8","  37.0"," 13.3","  6.7"
"71624099999","2020-01-16","  26.5","011000"," 27.0","  37.4","  23.0"," 20.0"," 0.01","1018.8","  0.4","997.2","  32.9"," 13.5"," 12.0"
"71624099999","2020-01-17","   2.2","001000"," 22.0","  23.0","   5.0"," 14.0"," 0.00","1041.5","999.9","017.8","  12.7"," 15.0","  7.5"
"71624099999","2020-01-18","  16.4","001000"," 26.0","  32.0","  15.8"," 15.0"," 0.18","1025.0","  2.4","002.9","  22.1"," 10.0"," 11.0"
"71624099999","2020-01-19","  22.1","011000"," 27.0","  36.5","  17.4"," 20.0"," 0.44","1007.3","  5.9","985.7","  27.2"," 11.7"," 10.6"
"71624099999","2020-01-20","   3.7","000000"," 17.1","  32.7","   3.9"," 12.0"," 0.01","1029.4","  5.1","006.8","  13.2"," 15.0","  6.8"
"71624099999","2020-01-21","  14.8","001000"," 17.1","  27.0","   3.9"," 11.1"," 0.00","1032.3","  4.3","009.9","  21.3"," 14.8","  7.0"
"71624099999","2020-01-22","  17.1","000000"," 21.0","  33.8","  17.6"," 19.0"," 0.00","1028.1","  4.3","005.9","  24.9"," 14.6"," 10.7"
"71624099999","2020-01-23","  21.6","000000","999.9","  35.6","  24.4"," 13.0"," 0.00","1025.7","  2.8","003.9","  29.6"," 14.3","  7.0"
"71624099999","2020-01-24","  26.0","010000"," 26.0","  38.7","  23.7"," 19.0"," 0.00","1023.7","999.9","002.1","  33.9"," 15.0"," 12.2"
"71624099999","2020-01-25","  35.5","010000"," 27.0","  39.2","  35.6"," 21.0"," 1.07","1013.0","  0.4","991.7","  36.8","  4.3"," 12.3"
"71624099999","2020-01-26","  32.6","010000"," 18.1","  38.5","  33.8"," 13.0"," 0.00","1006.8","  0.4","985.5","  35.5"," 10.5","  8.8"
"71624099999","2020-01-27","  28.9","011000"," 20.0","  34.3","  32.0"," 12.0"," 0.04","1006.5","  0.4","985.2","  33.6"," 13.7","  8.2"
"71624099999","2020-01-28","  24.6","001000"," 19.0","  35.6","  30.2"," 14.0"," 0.00","1013.3","999.9","991.8","  32.5"," 15.0"," 10.7"
"71624099999","2020-01-29","  16.6","001000"," 15.9","  32.0","  19.4"," 14.0"," 0.00","1021.9","  0.4","000.0","  25.1"," 14.5","  8.5"
"71624099999","2020-01-30","  16.9","000000"," 15.9","  28.6","  17.1"," 15.0"," 0.00","1025.7","999.9","003.6","  22.9"," 13.9","  9.4"
"71624099999","2020-01-31","  22.5","001000"," 15.9","  32.0","  26.6"," 12.0"," 0.01","1024.5","999.9","002.6","  28.3"," 13.5","  6.3"
"71624099999","2020-02-01","  25.2","001000","999.9","  33.8","  24.8"," 13.0"," 0.02","1016.5","  0.4","994.8","  28.7"," 11.1","  7.8"
"71624099999","2020-02-02","  29.6","011000"," 15.0","  33.8","  24.6"," 14.0"," 0.20","1000.6","  2.0","979.6","  31.3","  6.0","  9.5"
"71624099999","2020-02-03","  30.7","011000"," 26.0","  41.9","  28.2"," 18.1"," 0.02","1006.2","  0.8","985.0","  37.1"," 12.6","  8.0"
"71624099999","2020-02-04","  26.1","000000"," 15.0","  42.3","  32.7"," 13.0"," 0.00","1010.7","999.9","989.4","  34.4"," 15.0","  7.7"
"71624099999","2020-02-05","  10.5","000000"," 27.0","  36.1","  17.2"," 20.0"," 0.00","1020.2","999.9","998.3","  24.1"," 15.0"," 10.5"
"71624099999","2020-02-06","  17.9","001000"," 21.0","  26.6","  17.2"," 17.1"," 0.15","1007.5","  1.2","985.8","  24.0","  8.2"," 13.6"
"71624099999","2020-02-07","  17.5","001000"," 27.0","  24.8","  21.2"," 22.0"," 0.20"," 997.4","  3.5","975.8","  22.9","  7.9"," 12.6"
